"name","country","pop"
"Smolensk","Russian Federation","320991"
"Kherson","Ukraine","320477"
"Murmansk","Russian Federation","319263"
"Islington","United Kingdom","319143"
"Reading","United Kingdom","318014"
"Iasi","Romania","318012"
"Valladolid","Spain","317864"
"Poltava","Ukraine","317847"
"Vladikavkaz","Russian Federation","317370"
"Hrodna","Belarus","317365"
"Katowice","Poland","317316"
"Cluj-Napoca","Romania","316748"
"Cherepovets","Russian Federation","315738"
"Timisoara","Romania","315053"
"Vologda","Russian Federation","314900"
"Kingston upon Hull","United Kingdom","314018"
"Preston","United Kingdom","313332"
"Bonn","Germany","313125"
"Ostrava","Czech Republic","313088"
"Varna","Bulgaria","312770"
"Vladimir","Russian Federation","310024"
"Chita","Russian Federation","308500"
"Mannheim","Germany","307960"
"Chernihiv","Ukraine","307684"
"Newport","United Kingdom","306844"
"Craiova","Romania","304142"
"Constanta","Romania","303399"
"Saransk","Russian Federation","303394"
"Malmoe","Sweden","301706"
"Brest","Belarus","300715"
"Surgut","Russian Federation","300367"
"Swansea","United Kingdom","300352"
"Bradford","United Kingdom","299310"
"Cherkasy","Ukraine","297568"
"Vigo","Spain","297332"
"Southend-on-Sea","United Kingdom","295310"
"Sumy","Ukraine","294456"
"Galati","Romania","294087"
"Bialystok","Poland","291855"
"Tambov","Russian Federation","290933"
"Catania","Italy","290927"
"Utrecht","Netherlands","290529"
"Sector 4","Romania","287828"
"Marienthal","Germany","287101"
"Karlsruhe","Germany","283799"
"Zhytomyr","Ukraine","282192"
"Hamburg-Nord","Germany","280000"
"Yoshkar-Ola","Russian Federation","279100"
"Taganrog","Russian Federation","279056"
"Horlivka","Ukraine","278550"
"Kostroma","Russian Federation","277656"
"Gijon","Spain","277554"
"Bari","Italy","277387"
"Nantes","France","277269"
"Brasov","Romania","276088"
"Komsomolsk-on-Amur","Russian Federation","275908"
"Strasbourg","France","274845"
"Belfast","United Kingdom","274770"
"Nal'chik","Russian Federation","272800"
"Wiesbaden","Germany","272432"
"Ljubljana","Slovenia","272220"
"Sector 5","Romania","271575"
"Derby","United Kingdom","270468"
"Muenster","Germany","270184"
"Gelsenkirchen","Germany","270028"
"Sterlitamak","Russian Federation","267231"
"Eixample","Spain","266477"
"Aachen","Germany","265208"
"Petrozavodsk","Russian Federation","265025"
"Moenchengladbach","Germany","261742"
"Plymouth","United Kingdom","260203"
"Augsburg","Germany","259196"
"Luton","United Kingdom","258018"
"L'Hospitalet de Llobregat","Spain","257038"
"Espoo","Finland","256760"
"Latina","Spain","256644"
"Bratsk","Russian Federation","256600"
"Rivne","Ukraine","255106"
"Gdynia","Poland","253730"
"Carabanchel","Spain","253678"
"Wolverhampton","United Kingdom","252791"
"Eimsbuettel","Germany","251907"
"Altona","Germany","250192"
"Nis","Serbia","250000"
"Porto","Portugal","249633"
"Kropyvnytskyi","Ukraine","249454"
"Kamianske","Ukraine","248575"
"Montpellier","France","248252"
"Czestochowa","Poland","248125"
"City of Westminster","United Kingdom","247614"
"Chemnitz","Germany","247220"
"Orsk","Russian Federation","246836"
"Southampton","United Kingdom","246201"
"A Coruna","Spain","246056"
"Nizhnevartovsk","Russian Federation","244937"
"Braunschweig","Germany","244715"
"Puente de Vallecas","Spain","244151"
"Angarsk","Russian Federation","243158"
"Mar'ino","Russian Federation","243000"
"Novorossiysk","Russian Federation","241856"
"Khimki","Russian Federation","239967"
"Blackpool","United Kingdom","239409"
"Krefeld","Germany","237984"
"Arhus","Denmark","237551"
"Kosice","Slovakia","236563"
"Chernivtsi","Ukraine","236250"
"Sant Marti","Spain","235719"
"Ternopil","Ukraine","235676"
"Gasteiz / Vitoria","Spain","235661"
"Yakutsk","Russian Federation","235600"
"Granada","Spain","234325"
"Nizhnekamsk","Russian Federation","234297"
"Halle (Saale)","Germany","234107"
"Hamburg-Mitte","Germany","233144"
"Dzerzhinsk","Russian Federation","233126"
"Kiel","Germany","232758"
"Bordeaux","France","231844"
"Gent","Belgium","231493"
"Syktyvkar","Russian Federation","230139"
"Elche","Spain","230112"
"Milton Keynes","United Kingdom","229941"
"Magdeburg","Germany","229826"
